date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
01/09/2016,Y60,MIDLANDS COMMISSIONING REGION,1025251,3591077.18,0,0
01/09/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,1081774,3642854.62,0,0
01/10/2016,Y56,LONDON COMMISSIONING REGION,477074,1895223.51,0,0
01/10/2016,Y58,SOUTH WEST COMMISSIONING REGION,581755,2011254.55,0,0
01/10/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,642068,2172482.55,0,0
01/10/2016,Y59,SOUTH EAST COMMISSIONING REGION,755534,3227412.46,0,0
01/10/2016,Y62,NORTH WEST COMMISSIONING REGION,824070,3133967.52,0,0
01/10/2016,Y60,MIDLANDS COMMISSIONING REGION,997552,3424402.57,0,0
01/10/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,1046691,3354505.99,0,0
01/11/2016,Y56,LONDON COMMISSIONING REGION,497099,2102612.25,0,0
01/11/2016,Y58,SOUTH WEST COMMISSIONING REGION,605336,2258683.58,0,0
01/11/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,663853,2366688.11,0,0
01/11/2016,Y59,SOUTH EAST COMMISSIONING REGION,777638,3523045.59,0,0
01/11/2016,Y62,NORTH WEST COMMISSIONING REGION,855331,3427277.33,0,0
01/11/2016,Y60,MIDLANDS COMMISSIONING REGION,1034129,3783566.98,0,0
01/11/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,1093235,3778304.81,0,0
01/12/2016,Y56,LONDON COMMISSIONING REGION,495167,2125714.53,0,0
01/12/2016,Y58,SOUTH WEST COMMISSIONING REGION,620192,2376110.7,0,0
01/12/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,685752,2509560.97,0,0
01/12/2016,Y59,SOUTH EAST COMMISSIONING REGION,795921,3620953.85,0,0
01/12/2016,Y62,NORTH WEST COMMISSIONING REGION,869238,3500258.46,0,0
