date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
01/09/2016,Y56,LONDON COMMISSIONING REGION,136170,438806.54,0,0
01/09/2016,Y58,SOUTH WEST COMMISSIONING REGION,159116,428375.17,0,0
01/09/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,168438,594752.8,0,0
01/09/2016,Y62,NORTH WEST COMMISSIONING REGION,192738,805752.28,0,0
01/09/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,197191,804884.07,0,0
01/09/2016,Y59,SOUTH EAST COMMISSIONING REGION,201350,710173.7,0,0
01/09/2016,Y60,MIDLANDS COMMISSIONING REGION,251364,1039287.66,0,0
01/10/2016,Y56,LONDON COMMISSIONING REGION,133110,461580.56,0,0
01/10/2016,Y58,SOUTH WEST COMMISSIONING REGION,153468,447015.32,0,0
01/10/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,161632,618776.35,0,0
01/10/2016,Y62,NORTH WEST COMMISSIONING REGION,182933,791983.16,0,0
01/10/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,188634,828248.76,0,0
01/10/2016,Y59,SOUTH EAST COMMISSIONING REGION,195585,719038.88,0,0
01/10/2016,Y60,MIDLANDS COMMISSIONING REGION,241475,1043966.65,0,0
01/11/2016,Y56,LONDON COMMISSIONING REGION,136551,472305.97,0,0
01/11/2016,Y58,SOUTH WEST COMMISSIONING REGION,157901,480750.75,0,0
01/11/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,166908,633266.23,0,0
01/11/2016,Y62,NORTH WEST COMMISSIONING REGION,187857,824277.07,0,0
01/11/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,194952,855673.91,0,0
01/11/2016,Y59,SOUTH EAST COMMISSIONING REGION,198667,754654.12,0,0
01/11/2016,Y60,MIDLANDS COMMISSIONING REGION,247716,1071416.09,0,0
01/12/2016,Y56,LONDON COMMISSIONING REGION,136050,484510.29,0,0
01/12/2016,Y58,SOUTH WEST COMMISSIONING REGION,162321,484898.22,0,0
01/12/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,170583,659954,0,0
01/12/2016,Y62,NORTH WEST COMMISSIONING REGION,191587,831924.92,0,0
